ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto",¿Existencias?,Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,Marcas
72,simple,,,"Silla Metal",1,0,visible,,,,,taxable,,1,200,,0,0,,,,,1,,,20000,Uncategorized,,,,,,,,,,,,0,
73,simple,,,"Silla Plástica",1,0,visible,,,,,taxable,,1,500,,0,0,,,,,1,,,12000,Uncategorized,,,,,,,,,,,,0,
74,simple,GY-0003,,"Malla Papal 2x1m",1,0,visible,,,,,taxable,,1,300,,0,0,,,,,1,,,60000,Uncategorized,,,,,,,,,,,,0,
75,simple,,,"Malla Papal 1,5x1m",1,0,visible,,,,,taxable,,1,300,,0,0,,,,,1,,,50000,Uncategorized,,,,,,,,,,,,0,
76,simple,,,"Generador Petrolero 5.000w",1,0,visible,,,,,taxable,,1,4,,0,0,,,,,1,,,420000,Uncategorized,,,,,,,,,,,,0,
77,simple,,,"Generador Gasolina 10.000w",1,0,visible,,,,,taxable,,1,6,,0,0,,,,,1,,,600000,Uncategorized,,,,,,,,,,,,0,
78,simple,,,"Generador Petrolero 25.000w",1,0,visible,,,,,taxable,,1,2,,0,0,,,,,1,,,12000000,Uncategorized,,,,,,,,,,,,0,
79,simple,,,"Toldo 3x3m",1,0,visible,,,,,taxable,,1,100,,0,0,,,,,1,,,25000,Uncategorized,,,,,,,,,,,,0,
80,simple,T2X3,,"Toldo 2x3m",1,0,visible,,,,,taxable,,1,100,,0,0,,,,,1,,,20000,Uncategorized,,,,,,,,,,,,0,
81,simple,T3X6,,"Toldo 3x6m",1,0,visible,,,,,taxable,,1,100,,0,0,,,,,1,,,40000,Uncategorized,,,,,,,,,,,,0,
82,simple,,,"Mesa Armable 2x1x0.80m",1,0,visible,,,,,taxable,,1,50,,0,0,,,,,1,,,15000,Uncategorized,,,,,,,,,,,,0,
83,simple,,,"Sistema de Audio para Evento",1,0,visible,,,,,taxable,,1,3,,0,0,,,,,1,,,800000,Uncategorized,,,,,,,,,,,,0,
84,simple,,,"Escenario armable 6x12m",1,0,visible,,,,,taxable,,1,2,,0,0,,,,,1,,,2000000,Uncategorized,,,,,,,,,,,,0,
